City,Countries,Temp,Humidity,Pressure,Latitude,Longitude
Severo-Yeniseyskiy,RU,31.1,86,1033,60.3725,93.0408
Kavieng,PG,84.94,71,1009,-2.5744,150.7967
Bluff,NZ,50.81,77,1030,-46.6,168.3333
Bethel,US,66.88,18,1027,41.3712,-73.414
Lüderitz,NA,59.02,61,1016,-26.6481,15.1594
Marshfield,US,75.31,78,1016,44.6689,-90.1718
Puerto Ayora,EC,73.54,91,1010,-0.7393,-90.3518
Rabak,SD,92.75,15,1004,13.1809,32.74
Tevaitoa,PF,80.89,78,1013,-16.7833,-151.5
Praia da Vitória,PT,64.65,100,1024,38.7333,-27.0667
Hilo,US,76.91,76,1018,19.7297,-155.09
Busselton,AU,60.49,82,1015,-33.65,115.3333
Yulara,AU,46.24,61,1019,-25.2406,130.9889
Goderich,CA,77.32,14,1022,43.7501,-81.7165
Albany,US,72.0,53,1028,42.6001,-73.9662
Codrington,AU,54.82,77,1027,-38.2667,141.9667
Nanortalik,GL,35.94,86,1009,60.1432,-45.2371
Stade,DE,50.56,95,1013,53.6,9.4833
Oddur,SO,74.5,84,1010,4.1213,43.8894
Upernavik,GL,21.45,89,1014,72.7868,-56.1549
Punta Arenas,CL,46.51,61,1015,-53.15,-70.9167
Khani,GE,42.37,92,1021,41.9563,42.9566
Hermanus,ZA,62.8,84,1015,-34.4187,19.2345
Ushuaia,AR,40.66,75,1012,-54.8,-68.3
New Norfolk,AU,43.81,89,1030,-42.7826,147.0587
Saint Paul Harbor,US,47.71,34,1014,57.79,-152.4072
Fayaoué,NC,77.36,70,1017,-20.65,166.5333
Vaini,TO,80.76,65,1016,-21.2,-175.2
Honchō,JP,57.43,44,1020,41.8833,140.6833
Aklavik,CA,32.59,83,1019,68.2191,-135.0107
Merritt Island,US,72.72,56,1018,28.5392,-80.672
Port Alfred,ZA,68.38,44,1009,-33.5906,26.891
Lebu,CL,51.39,77,1018,-37.6167,-73.65
Aljezur,PT,63.79,66,1020,37.3191,-8.8033
Jamestown,US,78.44,12,1025,42.097,-79.2353
Bandarbeyla,SO,82.24,81,1008,9.4942,50.8122
Katsuura,JP,61.36,77,1021,35.1333,140.3
Longyearbyen,SJ,19.24,58,1006,78.2186,15.6401
Rikitea,PF,76.87,70,1017,-23.1203,-134.9692
Buckeye,US,90.19,10,1012,33.3703,-112.5838
Barrow,US,24.82,74,1017,71.2906,-156.7887
Sabá,HN,83.46,54,1010,15.4667,-86.25
Mataura,NZ,50.49,69,1031,-46.1927,168.8643
Port Hedland,AU,60.85,27,1014,-20.3167,118.5667
Takhatpur,IN,81.23,66,1002,22.15,81.8667
Havelock,US,63.27,67,1020,34.8791,-76.9013
La Ronge,CA,53.85,35,1009,55.1001,-105.2842
Avarua,CK,84.25,79,1014,-21.2078,-159.775
Hobart,AU,48.67,80,1027,-42.8794,147.3294
Richards Bay,ZA,63.1,89,1015,-28.783,32.0377
Turbe,BA,49.51,88,1022,44.2436,17.5714
Cidreira,BR,63.37,96,1015,-30.1811,-50.2056
Port Lincoln,AU,59.25,66,1024,-34.7333,135.8667
Clyde River,CA,23.23,80,1015,70.4692,-68.5914
Quatre Cocos,MU,76.08,81,1013,-20.2078,57.7625
Chokurdakh,RU,15.48,92,1013,70.6333,147.9167
Ous,RU,49.21,72,1014,60.9058,61.5186
Gannan,CN,48.81,34,1009,47.9147,123.5031
Tuktoyaktuk,CA,28.4,86,1018,69.4541,-133.0374
Biak,ID,77.36,85,1010,-0.9131,122.8766
Poum,NC,77.76,69,1016,-20.2333,164.0167
Fukuechō,JP,65.93,94,1014,32.6881,128.8419
Alexandria,EG,64.36,77,1016,31.2156,29.9553
Belmonte,BR,74.37,78,1016,-15.8631,-38.8828
Cockburn Town,TC,80.44,74,1013,21.4612,-71.1419
Pozo Colorado,PY,68.67,73,1015,-23.4923,-58.7972
Mitú,CO,75.15,97,1009,1.1983,-70.1733
Waterloo,CA,70.7,21,1025,43.4668,-80.5164
Bambous Virieux,MU,73.65,94,1013,-20.3428,57.7575
Aksarka,RU,26.71,99,1020,66.5606,67.7975
Mar del Plata,AR,54.93,78,1022,-38.0023,-57.5575
Soledade,BR,57.33,99,1015,-28.8183,-52.5103
Norman Wells,CA,48.24,29,1011,65.282,-126.8329
Hamilton,US,82.36,61,1020,39.1834,-84.5333
Kaitangata,NZ,49.64,68,1031,-46.2817,169.8464
Dikson,RU,25.38,96,998,73.5069,80.5464
Kristiansund,NO,47.05,81,997,63.1115,7.732
Celestún,MX,84.92,67,1010,20.8667,-90.4
Flekkefjord,NO,48.06,97,1005,58.2971,6.6607
Butaritari,KI,81.27,72,1010,3.0707,172.7902
North Bend,US,54.99,79,1025,43.4065,-124.2243
Ilhabela,BR,68.85,82,1017,-23.7781,-45.3581
Taltal,CL,61.43,78,1015,-25.4,-70.4833
Vila,PT,52.7,66,1020,42.0304,-8.1588
Saint George,US,74.55,8,1012,37.1041,-113.5841
Bredasdorp,ZA,61.27,79,1015,-34.5322,20.0403
Qaanaaq,GL,16.74,70,1016,77.484,-69.3632
Carnarvon,AU,69.87,88,1012,-24.8667,113.6333
San Policarpo,PH,82.17,82,1010,12.1791,125.5072
Atuona,PF,78.55,68,1011,-9.8,-139.0333
Grand Forks,US,69.73,28,1016,47.9417,-97.4337
Khatanga,RU,21.99,95,1010,71.9667,102.5
Vostok,RU,60.73,30,1013,46.4856,135.8833
Hobyo,SO,82.15,78,1007,5.3505,48.5268
Hithadhoo,MV,83.53,76,1008,-0.6,73.0833
Vitim,RU,35.47,67,1027,59.4511,112.5578
Nikolskoye,RU,48.0,75,1016,59.7035,30.7861
Matara,LK,80.2,87,1005,5.9485,80.5353
Arraial do Cabo,BR,71.46,88,1017,-22.9661,-42.0278
Provideniya,RU,32.11,93,1018,64.3833,-173.3
Kathu,TH,87.31,82,1005,7.9178,98.3332
Tsaratanana,MG,68.16,69,1013,-16.7833,47.65
Zeya,RU,43.88,53,1009,53.75,127.2667
Jiwani,PK,82.06,76,1001,25.05,61.7417
Barinitas,VE,72.88,92,1012,8.7622,-70.4111
Paamiut,GL,33.94,95,1008,61.994,-49.6678
Labuhan,ID,78.94,91,1008,-6.8844,112.2051
Berkåk,NO,38.59,87,999,62.825,10.0118
Guánica,PR,81.54,76,1014,17.9716,-66.908
Värnamo,SE,54.05,88,1007,57.186,14.04
El Tocuyo,VE,74.79,84,1012,9.7873,-69.7937
Iqaluit,CA,31.69,93,1007,63.7506,-68.5145
Kununurra,AU,60.78,88,1010,-15.7667,128.7333
Cosalá,MX,98.15,22,1008,24.4125,-106.6908
Funtua,NG,81.66,50,1010,11.5233,7.3081
Kaeo,NZ,60.33,66,1027,-35.1,173.7833
Tommot,RU,26.98,86,1022,58.9564,126.2925
Boralday,KZ,58.86,94,1018,43.3578,76.8594
Tessalit,ML,85.06,8,1009,20.1986,1.0114
Tiksi,RU,23.92,88,1008,71.6872,128.8694
Luganville,VU,80.37,85,1013,-15.5333,167.1667
Flinders,AU,61.48,91,1024,-34.5833,150.8552
Nisibis,TR,60.39,50,1012,37.0778,41.2178
Halifax,CA,48.27,49,1032,44.6453,-63.5724
Nouadhibou,MR,71.58,83,1013,20.931,-17.0347
Castro,BR,60.62,87,1016,-24.7911,-50.0119
Yellowknife,CA,36.12,64,1009,62.456,-114.3525
Baykit,RU,35.67,85,1031,61.67,96.37
Chui,UY,60.58,90,1015,-33.6971,-53.4616
Manado,ID,75.97,94,1008,1.487,124.8455
Nūzvīd,IN,79.86,80,996,16.7833,80.85
Isangel,VU,80.71,69,1016,-19.55,169.2667
Cherskiy,RU,24.17,84,1013,68.75,161.3
Ketchikan,US,43.27,93,1013,55.3422,-131.6461
Porto Murtinho,BR,67.55,98,1015,-21.6989,-57.8825
Maceió,BR,78.24,78,1014,-9.6658,-35.7353
Chegdomyn,RU,59.4,48,1006,51.1167,133.0167
Airai,TL,63.54,73,1011,-8.9266,125.4092
Adamantas,GR,62.01,63,1017,36.7333,24.4333
