City_ID,City,Countries,Temp,Humidity,Latitude,Longitude,Hotel Name,Hotel Address
0,Kavieng,PG,84.94,71,-2.5744,150.7967,Nusa Island Retreat,"Nusa Island Kavieng New Ireland PG 631, Kavieng"
1,Marshfield,US,75.31,78,44.6689,-90.1718,"Holiday Inn Conference Ctr Marshfield, an IHG Hotel","750 South Central Avenue, Marshfield"
2,Puerto Ayora,EC,73.54,91,-0.7393,-90.3518,Finch Bay Galapagos Hotel,"Barrio Punta Estrada, Puerto Ayora"
3,Tevaitoa,PF,80.89,78,-16.7833,-151.5,Hôtel Raiatea Lodge,BP 680 Tumaraa Raiatea
4,Hilo,US,76.91,76,19.7297,-155.09,Hilo Hawaiian Hotel,"71 Banyan Drive, Hilo"
5,Goderich,CA,77.32,14,43.7501,-81.7165,Harmony Inn,"242 Bayfield Road, Goderich"
6,Albany,US,72.0,53,42.6001,-73.9662,,
7,Oddur,SO,74.5,84,4.1213,43.8894,Banjanay Hotel,"4VCQ+JJM, Xuddur"
8,Fayaoué,NC,77.36,70,-20.65,166.5333,Chez Dydyce Guesthouse,"BP151 Tribu de Banoutr, 98814"
9,Vaini,TO,80.76,65,-21.2,-175.2,Keleti Beach Resort,"QQW9+G2M, Ha'ateiho"
10,Merritt Island,US,72.72,56,28.5392,-80.672,,
11,Jamestown,US,78.44,12,42.097,-79.2353,Hampton Inn & Suites Jamestown,"4 West Oak Hill Road, Jamestown"
12,Bandarbeyla,SO,82.24,81,9.4942,50.8122,JABIR HOTEL,"FRX6+26G, Unnamed Road, Bandarbeyla"
13,Rikitea,PF,76.87,70,-23.1203,-134.9692,People ThankYou,Rikitea
14,Sabá,HN,83.46,54,15.4667,-86.25,TORROJAMARU,"Olanchito, Elíxir"
15,Takhatpur,IN,81.23,66,22.15,81.8667,School nigarband,"5V58+CCF, Nigarband"
16,Avarua,CK,84.25,79,-21.2078,-159.775,Paradise Inn,"Q6VJ+V5C, Ara Tapu, Avarua District"
17,Quatre Cocos,MU,76.08,81,-20.2078,57.7625,Sunrise Attitude Hotel,"Royal Road, B59"
18,Biak,ID,77.36,85,-0.9131,122.8766,Penginapan Kim,"3VH7+5P3, Jalan Trans Sulawesi, Biak"
19,Poum,NC,77.76,69,-20.2333,164.0167,,
20,Belmonte,BR,74.37,78,-15.8631,-38.8828,Pousada Monte Carmelo O Pão,"Avenida 23 de Maio, 394, Belmonte"
21,Cockburn Town,TC,80.44,74,21.4612,-71.1419,Osprey Beach Hotel,"1 Duke Street, Cockburn Town"
22,Mitú,CO,75.15,97,1.1983,-70.1733,,
23,Waterloo,CA,70.7,21,43.4668,-80.5164,The Walper Hotel,"20 Queen Street South, Kitchener"
24,Bambous Virieux,MU,73.65,94,-20.3428,57.7575,Casa Tia Villa,"JPXR+XQW, Domaine du Chausser Road, Anse Joncee, Grand Port"
25,Hamilton,US,82.36,61,39.1834,-84.5333,Six Acres Bed & Breakfast,"5350 Hamilton Avenue, Cincinnati"
26,Celestún,MX,84.92,67,20.8667,-90.4,Posada Lilia,"12 128B, Benito Juárez, Celestún"
27,Butaritari,KI,81.27,72,3.0707,172.7902,Isles Sunset Lodge,Kiribati
28,Saint George,US,74.55,8,37.1041,-113.5841,Best Western Plus Abbey Inn,"1129 South Bluff Street, St. George"
29,San Policarpo,PH,82.17,82,12.1791,125.5072,Agapita M. Nicart,"Barangay 3, Poblacion, Eastern, San Policarpo"
30,Atuona,PF,78.55,68,-9.8,-139.0333,Villa Enata,"Domaine Emile Rauzy,Tahauku"
31,Hobyo,SO,82.15,78,5.3505,48.5268,Iftin hotel hobyo,"Airport road, Hobyo"
32,Hithadhoo,MV,83.53,76,-0.6,73.0833,Scoop Guest House,"93RP+G5C, Scoop Guest House, S. Hithadhoo - Rep Of Maldives, Addu City"
33,Matara,LK,80.2,87,5.9485,80.5353,Amaloh Boutique Resort,"36/9, 1st Cross Road, Polhena, Matara"
34,Arraial do Cabo,BR,71.46,88,-22.9661,-42.0278,Pousada Porto Praia,"Rua Vilas Bôas, 161 - Macedônia, Arraial do Cabo"
35,Jiwani,PK,82.06,76,25.05,61.7417,Al Mumtaz Transport Jiwani,"2PXW+4VM, Jiwani"
36,Barinitas,VE,72.88,92,8.7622,-70.4111,Rapsodia EcoTours,"Barinitas, Ctra. Via Agrícola Cacao Pagüey KM 4 Casa S/N Sector El Cacao"
37,Labuhan,ID,78.94,91,-6.8844,112.2051,DoubleFAG,Sidomukti
38,Guánica,PR,81.54,76,17.9716,-66.908,Copamarina Beach Resort & Spa,"PR-333 Km 6.5, Guanica"
39,El Tocuyo,VE,74.79,84,9.7873,-69.7937,HOTEL BOUTIQUE SANTO DOMINGO,"Q6M2+886, El Tocuyo"
40,Funtua,NG,81.66,50,11.5233,7.3081,Sani Jikan Mallam Hotel,"G8H5+2VJ, Dandame Road, Katsina (Capital City)"
41,Luganville,VU,80.37,85,-15.5333,167.1667,The Espiritu Hotel,"Main Street, Espiritu Santo"
42,Nouadhibou,MR,71.58,83,20.931,-17.0347,El Medina,"zone dubai ext.p5 lot 72. BP. 4350, Nouadhibou"
43,Manado,ID,75.97,94,1.487,124.8455,Aryaduta Hotel,"Jalan Piere Tendean (Boulevard, Wenang Utara"
44,Nūzvīd,IN,79.86,80,16.7833,80.85,HI-TECH LODGE,"Chinna Gandhi Bomma Centre, Nuzividu"
45,Isangel,VU,80.71,69,-19.55,169.2667,Tanna Lodge,"C7WJ+WMX, Bethel"
46,Maceió,BR,78.24,78,-9.6658,-35.7353,Hotel Ponta Verde Maceió,"Avenida Álvaro Otacílio, 2933 - Ponta Verde, Maceió"
47,Saint-Philippe,RE,72.99,79,-21.3585,55.7679,"Chambres d'hôte ""La Trinité""",12 Rue De La Pompe
48,Pangoa,PE,74.98,73,-12.1167,-73.0,,
49,Umluj,SA,82.27,35,25.0213,37.2685,Moon light Furnished Units,"278C+XP4, Tabuk"
50,Gamba,GA,77.74,92,-2.65,10.0,,
51,Kanigiri,IN,82.49,58,15.4,79.5167,COMFORT INN,"Kanigiri - Kandukur Road, Kanigiri"
52,Kieta,PG,84.0,73,-6.2167,155.6333,Uruna Bay Retreat,"RM63+36C, Kieta"
53,Bengkulu,ID,77.99,85,-3.8004,102.2655,Grage Hotel Bengkulu,"Jalan Nala No.142, Anggut Bawah"
54,Tiznit Province,MA,75.25,23,29.5833,-9.5,,
55,Kapaa,US,78.66,75,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort,"650 Aleka Loop, Kapaʻa"
56,São Filipe,CV,73.22,80,14.8961,-24.4956,Hotel Xaguate,"VGX2+RPP, Sao Filipe, Rua da Posto, Fogo"
57,Lorengau,PG,84.27,73,-2.0226,147.2712,Lorengau Harbourside Hotel,"X7GC+Q39, Lorengau"
58,Kahului,US,82.67,62,20.8947,-156.47,Maui Seaside Hotel,"100 West Kaahumanu Avenue, Kahului"
59,Sola,VU,80.96,82,-13.8833,167.55,Leumerus Bungalows,"Vanua Lava, Sola"
60,Sal Rei,CV,70.97,86,16.1833,-22.9167,Marine Club Beach Resort,Praia da Cruz Sal Rel Boa Vista
