City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Upernavik,72.7868,-56.1549,0.88,89,62,4.68,GL,2022-05-06 04:05:25
1,Boguchany,58.3814,97.4531,51.01,45,100,7.56,RU,2022-05-06 04:05:26
2,Zelenoborskiy,66.845,32.3622,35.53,96,100,5.73,RU,2022-05-06 04:05:26
3,Hofn,64.2539,-15.2082,38.84,53,0,11.27,IS,2022-05-06 04:05:27
4,Sao Joao Da Barra,-21.6403,-41.0511,71.24,84,7,10.76,BR,2022-05-06 04:05:27
5,Butaritari,3.0707,172.7902,81.55,72,41,17.69,KI,2022-05-06 04:05:28
6,Ushuaia,-54.8,-68.3,36.34,96,89,7.74,AR,2022-05-06 04:00:34
7,Puerto Ayora,-0.7393,-90.3518,73.17,93,100,5.95,EC,2022-05-06 04:05:28
8,Phan Thiet,10.9333,108.1,88.74,60,65,14.74,VN,2022-05-06 04:05:29
9,Cabedelo,-6.9811,-34.8339,75.87,82,100,10.98,BR,2022-05-06 04:05:29
10,Busselton,-33.65,115.3333,64.98,44,0,12.3,AU,2022-05-06 04:05:30
11,Monrovia,6.3005,-10.7969,75.9,89,99,7.09,LR,2022-05-06 04:00:31
12,Ilulissat,69.2167,-51.1,15.82,62,2,0.0,GL,2022-05-06 04:05:30
13,Saint George,37.1041,-113.5841,77.79,17,63,1.99,US,2022-05-06 03:59:41
14,Hithadhoo,-0.6,73.0833,84.56,74,97,15.41,MV,2022-05-06 04:05:31
15,Ahipara,-35.1667,173.1667,67.82,60,3,6.6,NZ,2022-05-06 04:05:32
16,Codrington,-38.2667,141.9667,54.95,73,98,10.71,AU,2022-05-06 04:05:32
17,Albany,42.6001,-73.9662,54.01,69,100,4.7,US,2022-05-06 04:03:20
18,Solton,52.8429,86.4787,62.74,35,48,5.55,RU,2022-05-06 04:05:33
19,Jamestown,42.097,-79.2353,56.01,57,20,4.61,US,2022-05-06 04:05:33
20,Sitka,57.0531,-135.33,44.49,76,75,0.0,US,2022-05-06 04:05:34
21,Port Elizabeth,-33.918,25.5701,62.89,93,40,16.11,ZA,2022-05-06 04:03:23
22,Lasa,46.6166,10.7002,45.7,99,100,3.02,IT,2022-05-06 04:05:34
